iniciado/0;exp_dip/0;exp_sen;per_ing;ses_ing;tipo_doc;titulo;sumario
DIPUTADOS;0915-D-88;0170-CD-88;106;ORDINARIAS;PROYECTO DE LEY;<CS:Titulo>Título:  </CS><FD:TITULO>SIERRA, ESTELA MARIA Y SIERRA, CELIA JOSEFINA.</FD:TITULO>;"<CS:Titulo>Sumario: </CS><FD:TITULO>PENSION GRACIABLE; SE DEJA SIN EFECTO LA PENSION GRACIABLE OTORGADA A CELIA JOSEFINA SIERRA CONFORME A LA LEY 22137.</FD:TITULO>"
DIPUTADOS;0840-D-88;;106;ORDINARIAS;PROYECTO DE LEY;"<CS:Titulo>Título:  </CS><FD:TITULO>FONDO DE AYUDA A LAS ASOCIACIONES DE BOMBEROS VOLUNTARIOS; CREACION.</FD:TITULO>";"<CS:Titulo>Sumario: </CS><FD:TITULO>SE INTEGRARA CON UN ADICIONAL DEL 1 % SOBRE LAS PRIMAS O CUOTAS QUE PERCIBAN EN LOS NUEVOS CONTRATOS DE SEGURO DE INCENDIO; DEPOSITO DE LAS SUMAS EN EL BANCO DE LA NACION ARGENTINA.</FD:TITULO>"
DIPUTADOS;0982-D-88;;106;ORDINARIAS;PROYECTO DE LEY;"<CS:Titulo>Título:  </CS><FD:TITULO>DOMINIO DE LAS VIAS NAVEGABLES Y DE LOS PUERTOS; REGIMEN; (REPRODUCCION DEL EXPEDIENTE 2599-D-86).</FD:TITULO>";"<CS:Titulo>Sumario: </CS><FD:TITULO>CONSEJO FEDERAL PORTUARIO: CREACION; DISOLUCION DE LA ADMINISTRACION GENERAL DE PUERTOS Y DE LA DIRECCION NACIONAL DE CONSTRUCCIONES PORTUARIAS Y VIAS NAVEGABLES.</FD:TITULO>"
DIPUTADOS;0790-D-88;;106;ORDINARIAS;PROYECTO DE RESOLUCION;<CS:Titulo>Título:  </CS><FD:TITULO>SEPTUAGESIMO ANIVERSARIO DE LA REFORMA UNIVERSITARIA.</FD:TITULO>;<CS:Titulo>Sumario: </CS><FD:TITULO>EXPRESAR ADHESION A LA CONMEMORACION A CELEBRARSE EN EL MES DE JUNIO DE 1988.</FD:TITULO>
DIPUTADOS;1099-D-88;;106;ORDINARIAS;PROYECTO DE LEY;<CS:Titulo>Título:  </CS><FD:TITULO>DECLARAR EN ESTADO DE ALERTA ECOLOGICO EL ECOSISTEMA DE LA CUENCA DEL RIO COLORADO Y SU VALLE ZONA DE EMERGENCIA.</FD:TITULO>;"<CS:Titulo>Sumario: </CS><FD:TITULO>FINALIDAD; CONSTITUCION DE UN FONDO NACIONAL DE ASISTENCIA; CREACION DE UN COMITE INTERJURISDICCIONAL DE ALERTA: INTEGRACION Y ATRIBUCIONES; ADHESION DE LAS PROVINCIAS DE LA CUENCA.</FD:TITULO>"
DIPUTADOS;0857-D-88;;106;ORDINARIAS;PROYECTO DE RESOLUCION;<CS:Titulo>Título:  </CS><FD:TITULO>PEDIDO DE INFORMES: SOBRE LA ACTIVIDAD MINERA EN LA MINA LAS PIRQUITAS, PROVINCIA DE JUJUY.</FD:TITULO>;"<CS:Titulo>Sumario: </CS><FD:TITULO>SI SE LE ASIGNA IMPORTANCIA A LA PRODUCCION DE LA CITADA MINA; SI SE TIENE CONOCIMIENTO DE SU INTERVENCION JUDICIAL; ACCIONES TOMADAS PARA GARANTIZAR EL MANTENIMIENTO DE DICHA FUENTE DE TRABAJO, ETCETERA.</FD:TITULO>"
DIPUTADOS;0974-D-88;;106;ORDINARIAS;PROYECTO DE RESOLUCION;<CS:Titulo>Título:  </CS><FD:TITULO>PEDIDO DE INFORMES: SOBRE LA CONSERVACION DE LA RUTA NACIONAL 200, QUE UNE LA CIUDAD DE BUENOS AIRES CON LA DE NAVARRO, PROVINCIA DE BUENOS AIRES.</FD:TITULO>;"<CS:Titulo>Sumario: </CS><FD:TITULO>MONTOS ASIGNADOS A VIALIDAD NACIONAL PARA SU REPARACION PARA EL PRESENTE Y LOS SIGUIENTES PERIODOS; SOLICITUD AL PODER EJECUTIVO.</FD:TITULO>"
DIPUTADOS;1116-D-88;;106;ORDINARIAS;PROYECTO DE RESOLUCION;<CS:Titulo>Título:  </CS><FD:TITULO>PRORROGAR LOS PERMISOS VIGENTES O EN TRAMITE AL 30/04/88, DE PUESTOS EN LA VIA PUBLICA DESTINADOS A PERSONAS DISCAPACITADAS, OTORGADOS POR LA ORDENANZA MUNICIPALIDAD 41084.</FD:TITULO>;"<CS:Titulo>Sumario: </CS><FD:TITULO>SOLICITUD A LA MUNICIPALIDAD DE LA CIUDAD DE BUENOS AIRES; ASIMISMO, PROPICIAR UN REGIMEN DE EXCEPCION PARA DISCAPACITADOS.</FD:TITULO>"
DIPUTADOS;0736-D-88;;106;ORDINARIAS;PROYECTO DE DECLARACION;<CS:Titulo>Título:  </CS><FD:TITULO>CARTA ENCICLICA DE SU SANTIDAD JUAN PABLO II DENOMINADA ' PREOCUPACION SOCIAL DE LA IGLESIA '.</FD:TITULO>;"<CS:Titulo>Sumario: </CS><FD:TITULO>MANIFESTACION DE ADHESION; LA MISMA FUE DADA A CONOCER EN EL VIGESIMO ANIVERSARIO DE LA ENCICLICA SOBRE EL DESARROLLO DE LOS PUEBLOS DE SU SANTIDAD PABLO VI.</FD:TITULO>"
DIPUTADOS;1041-D-88;;106;ORDINARIAS;PROYECTO DE LEY;<CS:Titulo>Título:  </CS><FD:TITULO>LEY ORGANICA DE MUNICIPALIDAD DE LA CIUDAD DE BUENOS AIRES (19987): MODIFICA ELECCION DIRECTA DEL INTENDENTE MUNICIPAL.</FD:TITULO>;"<CS:Titulo>Sumario: </CS><FD:TITULO>SUSTITUYE LOS ARTICULOS 8, 27, 28 Y 30; ESTABLECE LA APLICACION DEL CODIGO NACIONAL ELECTORAL EN LAS ELECCIONES MUNICIPALES, LA ELECCION DIRECTA DEL INTENDENTE, PREVIENDO UNA SEGUNDA VUELTA PARA EL CASO DE NO OBTENER LA MITAD MAS UNO DE LOS VOTOS VALIDOS EMITIDOS; PERIODO DE GOBIERNO: 4 AÑOS; POSIBILIDAD DE REELECCION POR UNA VEZ; REEMPLAZO: QUIENES LO EJERCERAN Y NUEVA CONVOCATORIA.</FD:TITULO>"
DIPUTADOS;1058-D-88;;106;ORDINARIAS;PROYECTO DE RESOLUCION;<CS:Titulo>Título:  </CS><FD:TITULO>PEDIDO DE INFORMES: APLICACION DE LA LEY 23358 SOBRE INCLUSION EN LOS PLANES DE ESTUDIO DE CONTENIDOS NECESARIOS CON EL FIN DE PREVENIR LA DROGADICCION.</FD:TITULO>;<CS:Titulo>Sumario: </CS><FD:TITULO>SI SE ESTABLECIO A NIVELS PRIMARIO Y SECUNDARIO Y EN LA CAPACITACION DOCENTE.</FD:TITULO>
DIPUTADOS;0791-D-88;;106;ORDINARIAS;PROYECTO DE LEY;<CS:Titulo>Título:  </CS><FD:TITULO>CREACION DE UN JUZGADO NACIONAL DE PRIMERA INSTANCIA EN LO FEDERAL CON ASIENTO EN LA CIUDAD DE PRESIDENCIA R S PEÑA, PROVINCIA DEL CHACO.</FD:TITULO>;"<CS:Titulo>Sumario: </CS><FD:TITULO>JURISDICCION; MODIFICACION DE LA CORRESPONDIENTE AL JUZGADO NACIONAL DE PRIMERA INSTANCIA EN LO FEDERAL CON ASIENTO EN RESISTENCIA, CHACO.</FD:TITULO>"
DIPUTADOS;0933-D-88;;106;ORDINARIAS;PROYECTO DE RESOLUCION;<CS:Titulo>Título:  </CS><FD:TITULO>PEDIDO DE INFORMES: SOBRE EL ESTADO DE SALUD DE LOS OPERARIOS QUE REALIZARON EL EXPERIMENTO CON EL VIRUS VACCINIA - RABIA EN AZUL, PROVINCIA DE BUENOS AIRES.</FD:TITULO>;"<CS:Titulo>Sumario: </CS><FD:TITULO>CONTROLES DISPUESTOS EN LA ZONA DEL EXPERIMENTO, SITUACION ACTUAL DEL CONVENIO CON CEPANZOO, APORTES DEL PRESUPUESTO NACIONAL EFECTUADOS, ETCETERA; SOLICITUD AL PODER EJECUTIVO NACIONAL.</FD:TITULO>"
DIPUTADOS;1100-D-88;;106;ORDINARIAS;PROYECTO DE RESOLUCION;<CS:Titulo>Título:  </CS><FD:TITULO>CONTROLAR LAS DEPREDACIONES PRODUCIDAS POR ANIMALES PROTEGIDOS QUE ESCAPAN DE LAS ZONAS DE RESERVA, PARA SU PROTECCION Y LA DE LAS ZONAS ALEDAÑAS.</FD:TITULO>;"<CS:Titulo>Sumario: </CS><FD:TITULO>SOLICITUD AL PODER EJECUTIVO NACIONAL, EN ESPECIAL EN LOS ALREDEDORES DE LA LOCALIDAD DE RACO, PROVINCIA DE TUCUMAN; APOYO A LA ACTIVIDAD QUE EN ESE SENTIDO DESARROLLA LA UNIVERSIDAD NACIONAL DE TUCUMAN.</FD:TITULO>"
